,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,
,,,North America,,"33,633,677","+3,024","761,890",+469,"23,389,486","+6,239","9,482,301","21,083",,,,,,North America,,,,,
,,,Asia,,"25,092,940","+19,244","399,365",+347,"23,594,231","+20,364","1,099,344","21,895",,,,,,Asia,,,,,
,,,South America,,"18,048,525",+757,"468,234",+17,"16,325,612",+620,"1,254,679","18,969",,,,,,South America,,,,,
,,,Europe,,"34,298,085","+46,775","817,196","+1,248","23,945,780","+41,622","9,535,109","25,841",,,,,,Europe,,,,,
,,,Africa,,"3,935,446","+1,238","104,205",+21,"3,494,990","+2,796","336,251","2,526",,,,,,Africa,,,,,
,,,Oceania,,"51,300",+15,"1,090",,"34,293",+7,"15,917",2,,,,,,Australia/Oceania,,,,,
,,,,,721,,15,,706,,0,0,,,,,,,,,,,
,,World,"115,060,694","+71,053","2,551,995","+2,102","90,785,098","+71,648","21,723,601","90,316","14,761",327.4,,,,All,,,,,
,1,USA,"29,314,254",,"527,226 ",,"19,817,532",,"8,969,496","14,545","88,218","1,587","360,725,221","1,085,561","332,293,850 ",North America,116301,
,2,India,"11,124,527",+908,"157,275 ",,"10,798,921","+2,363","168,331","8,944","8,009",113,"217,618,057","156,671","1,389,012,340 ",Asia,"1258,8326",
,3,Brazil,"10,589,608",,"255,836 ",,"9,457,100",,"876,672","8,318","49,585","1,198","28,600,000","133,918","213,563,946 ",South America,208357,
,4,Russia,"4,268,215","+10,565","86,896 ",+441,"3,838,040","+14,966","343,279","2,300","29,239",595,"111,500,000","763,823","145,976,195 ",Europe,"341,6801",
,5,UK,"4,182,009",,"122,953 ",,"2,959,884",,"1,099,172","1,971","61,389","1,805","90,739,196","1,331,985","68,123,305 ",Europe,165541,
,6,France,"3,760,671",,"86,803 ",,"258,384",,"3,415,484","3,544","57,529","1,328","53,281,689","815,082","65,369,759 ",Europe,177531,
,7,Spain,"3,204,531",,"69,609 ",,"2,722,304",,"412,618","2,923","68,521","1,488","39,313,189","840,621","46,766,856 ",Europe,156721,
,8,Italy,"2,938,371",,"97,945 ",,"2,416,093",,"424,333","2,289","48,647","1,622","40,303,520","667,249","60,402,483 ",Europe,216171,
,9,Turkey,"2,711,479",,"28,638 ",,"2,578,181",,"104,660","1,215","31,922",337,"33,305,552","392,101","84,941,319 ",Asia,"312,9663",
,10,Germany,"2,455,569",,"70,924 ",,"2,264,600","+9,100","120,045","2,848","29,246",845,"43,950,029","523,449","83,962,383 ",Europe,"341,1842",
,11,Colombia,"2,255,260",,"59,866 ",,"2,151,633",,"43,761","2,240","44,011","1,168","11,491,151","224,249","51,242,817 ",South America,238564,
,12,Argentina,"2,112,023",,"52,077 ",,"1,911,338",,"148,608","3,505","46,447","1,145","7,466,942","164,213","45,471,214 ",South America,228736,
,13,Mexico,"2,089,281","+2,343","186,152 ",+437,"1,639,943","+6,043","263,186","4,798","16,092","1,434","5,460,692","42,060","129,831,819 ",North America,6269724,
,14,Poland,"1,719,708","+7,937","44,008 ",+216,"1,438,032","+7,171","237,668","1,540","45,472","1,164","9,945,404","262,974","37,818,948 ",Europe,228594,
,15,Iran,"1,639,679",,"60,181 ",,"1,399,934",,"179,564","3,727","19,357",710,"10,912,409","128,827","84,705,636 ",Asia,"521,4088",
